# TEMA: AS PRIMEIRAS CRUZADAS: DA CRUZADA POPULAR À SEGUNDA CRUZADA
# DESCRIÇÃO: Análise dos objetivos (motivação triplice), contexto político, Concílio de Clermont, Cruzada Popular, Primeira Cruzada (Nobre) e o fracasso da Segunda Cruzada após a queda de Edessa.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"PRIMEIRA CRUZADA E REINO LATINO: Qual era o nome da entidade política estabelecida pelos cruzados no Oriente, após a tomada de Jerusalém em 1099, que existiu até 1291?","Império Bizantino","Califado Abássida","Reino Latino de Jerusalém","Sultanato de Rūm",c
"PRIMEIRA CRUZADA E REINO LATINO: Quantos cruzados europeus, aproximadamente, retornaram para casa após o sucesso da Primeira Cruzada?","A maioria dos que foram.","Quase nenhum, pois todos morreram em batalha.","Uma minoria (aproximadamente 10% do total de combatentes).","Aproximadamente 50% dos que foram.",c
"PRIMEIRA CRUZADA E REINO LATINO: Qual o papel do bispo Ademar de Le Puy na Primeira Cruzada?","Comandante militar e principal estrategista.","Representante da autoridade papal (legado), sendo a figura central de autoridade moral e espiritual na expedição.","Um mercenário contratado pelo Imperador Bizantino.","O historiador que registrou os eventos.",b
"PRIMEIRA CRUZADA E REINO LATINO: Qual foi um dos principais 'erros' ou problemas recorrentes da Primeira Cruzada (Cruzada dos Nobres), apesar de seu sucesso militar?","A desorganização militar e a falta de hierarquia.","A falta de apoio da população local na Terra Santa.","O conflito constante entre os líderes nobres e a rivalidade sobre a posse de terras conquistadas.","A recusa em atacar cidades importantes.",c
"PRIMEIRA CRUZADA E REINO LATINO: Qual foi a importância da participação do Império Bizantino na Primeira Cruzada?","O Império Bizantino forneceu a maior parte dos homens e recursos.","O Império Bizantino pediu ajuda ao Ocidente, mas sua colaboração e objetivos com os cruzados eram tensos e conflitantes.","O Imperador Bizantino liderou as tropas diretamente.","O Império Bizantino se recusou a participar.",b
"SEGUNDA CRUZADA (1144 - 1149): Qual evento catalisou a convocação da Segunda Cruzada?","O ataque sarraceno a Roma.","A perda do Reino Latino de Jerusalém.","A queda do Condado de Edessa (1144) para o líder muçulmano Zengi.","A coroação de Carlos Magno.",c
"SEGUNDA CRUZADA (1144 - 1149): Qual Papa convocou oficialmente a Segunda Cruzada?","Papa Urbano II","Papa Inocêncio III","Papa Eugênio III","Papa Alexandre III",c
"SEGUNDA CRUZADA (1144 - 1149): Qual figura religiosa foi a principal responsável por pregar e angariar apoio popular para a Segunda Cruzada na Europa?","Pedro, o Eremita","São Bernardo de Claraval","São Francisco de Assis","O Bispo Ademar de Le Puy",b
"SEGUNDA CRUZADA (1144 - 1149): Quem foi o Conde Joscelino II?","O líder muçulmano que capturou Edessa.","O último governante do Condado de Edessa, cuja queda desencadeou a Segunda Cruzada.","O Papa Eugênio III.","Um dos generais do Império Bizantino.",b
"SEGUNDA CRUZADA (1144 - 1149): Qual foi um dos principais fatores que levou ao fracasso da Segunda Cruzada?","A falta de fé dos camponeses.","A forte união entre os líderes europeus e a coordenação militar.","A desunião e a rivalidade entre os líderes europeus (Rei da França e Imperador Alemão).","A falta de apoio do Papa.",c
"SEGUNDA CRUZADA (1144 - 1149): Qual cidade muçulmana (aliada potencial do Reino de Jerusalém) foi atacada pelos cruzados na Segunda Cruzada, sendo este um grande erro estratégico?","Jerusalém","Antioquia","Damasco","Edessa",c
"SEGUNDA CRUZADA (1144 - 1149): O que São Bernardo de Claraval, o grande pregador da Cruzada, ofereceu como 'desculpa' para o fracasso militar da expedição?","Ele alegou que Deus havia mudado de ideia.","Ele assumiu a culpa pela pregação, mas atribuiu o fracasso aos pecados e à falta de fé dos próprios cruzados.","Ele culpou totalmente o Papa Eugênio III.","Ele culpou a falta de fundos para a expedição.",b
"SEGUNDA CRUZADA (1144 - 1149): Em termos geopolíticos, a Segunda Cruzada marcou o quê?","O ápice da influência francesa no Oriente.","A completa união entre Bizâncio e o Ocidente.","Um declínio na autoridade e prestígio do Papado e do ideal cruzado.","A conquista total da Terra Santa.",c
"SEGUNDA CRUZADA (1144 - 1149): Quais foram os dois principais monarcas europeus (Rei e Imperador) que participaram ativamente da Segunda Cruzada?","Ricardo Coração de Leão e Filipe II.","Luís VII da França e Conrado III da Alemanha.","Carlos Magno e Frederico Barba-Roxa.","Guilherme, o Conquistador e Henrique II.",b
