# TEMA: O MUNDO ISLÂMICO: DA GÊNESE À IDADE MÉDIA E ALÉM
# DESCRIÇÃO: Análise cronológica das origens (Maomé, Revelação), expansão (Califados Omíadas e Abássidas), divisões doutrinárias (Xiitas/Sunitas), e as contribuições culturais e legais do Islã.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"OS CALIFADOS: Qual era a diferença central entre os Omíadas e os Abássidas em termos de política de domínio?","Os Omíadas defendiam a expansão militar, e os Abássidas eram isolacionistas.","Os Omíadas mantinham uma forte distinção social entre árabes e não-árabes muçulmanos, enquanto os Abássidas promoviam uma sociedade mais igualitária entre os muçulmanos.","Os Omíadas eram sunitas, e os Abássidas eram xiitas.","Os Abássidas eram puramente comerciais.",b
"DIVISÃO E LEI: Qual é a principal diferença que distingue os muçulmanos Xiitas dos Sunitas?","Os xiitas rejeitam o Corão, e os sunitas o aceitam.","Os xiitas aceitam a lei (Sharia) e os sunitas não.","Os xiitas acreditam que o sucessor de Maomé (*Califa*/*Imã*) deve ser descendente de sua família (*Ahl al-Bayt*), e os sunitas aceitam o consenso e a eleição.","Os sunitas não praticam os Cinco Pilares do Islã.",c
"DIVISÃO E LEI: De onde os juristas islâmicos (Ulemás) retiravam as leis (Sharia) para regular a vida dos muçulmanos?","Apenas de decretos políticos.","Do Corão, da Suna (tradição de Maomé) e do *ijma* (consenso dos juristas).","Exclusivamente de leis romanas.","Apenas das leis dos Beduínos.",b
"CULTURA E INFLUÊNCIA: Qual a diferença fundamental entre 'Árabe' e 'Muçulmano'?","Não há diferença, todos os árabes são muçulmanos.","'Árabe' refere-se à etnia e à língua, e 'Muçulmano' refere-se a quem pratica o Islã (crença), independentemente da etnia.","'Muçulmano' é uma etnia, e 'Árabe' é uma religião.","'Árabe' é um termo moderno.",b
"CULTURA E INFLUÊNCIA: O que é verdadeiro sobre os 'Árabes Cristãos'?","Eles não existem.","Eles foram totalmente exterminados após a expansão do Islã.","São comunidades cristãs que vivem no Oriente Médio, falam árabe e mantiveram sua fé após a expansão islâmica.","São muçulmanos que se converteram ao cristianismo.",c
"CULTURA E INFLUÊNCIA: Qual foi o tratamento geral dado pelos muçulmanos aos 'Povos do Livro' (cristãos e judeus) na Idade Média?","Eram forçados à conversão imediata ou à morte.","Eram considerados *dhimmis* (protegidos), podendo manter sua fé mediante o pagamento de um imposto especial (*jizya*).","Eram banidos de todos os territórios controlados pelo Islã.","Eram nomeados governadores.",b
"CULTURA E INFLUÊNCIA: Qual civilização estrangeira mais influenciou os filósofos, médicos e matemáticos árabes na Idade Média?","A Civilização Indiana.","A Civilização Grega (Hellenística) e Persa (através da tradução de obras antigas).","A Civilização Chinesa.","A Civilização Romana.",b
"CULTURA E INFLUÊNCIA: Qual é o aspecto em comum entre o Judaísmo, o Cristianismo e o Islã?","Todos aceitam Maomé como Profeta.","Todos são religiões monoteístas que traçam sua origem a Abraão ('Religiões Abraâmicas').","Todos têm o Corão como livro sagrado.","Todos exigem o celibato clerical.",b
"CONTRIBUIÇÕES E CIÊNCIA: Qual era a principal característica da economia do mundo islâmico na Idade Média?","Era puramente agrícola.","Era puramente nômade.","Baseada em uma economia de vasto comércio intercontinental e forte uso da moeda (dinar/dirham).","Era totalmente dependente do Império Bizantino.",c
"CONTRIBUIÇÕES E CIÊNCIA: Qual tecnologia econômica e administrativa foi introduzida pelos árabes e se tornou essencial para o comércio intercontinental?","A invenção da roda.","O desenvolvimento do cheque (*sakk*), das letras de câmbio e do sistema bancário primitivo.","A escrita cuneiforme.","O uso do ferro.",b
"CONTRIBUIÇÕES E CIÊNCIA: As influências da cultura árabe, além da religião, se estenderam principalmente para quais áreas?","Militarismo e escravidão.","Filosofia (preservação de Aristóteles), Matemática (álgebra) e Astronomia.","Exclusivamente arte e música.","Nenhuma área fora da religião.",b
"CONTRIBUIÇÕES E CIÊNCIA: O que a mulher muçulmana na Idade Média (dependendo da região) tinha legalmente garantido pela *Sharia* (Lei Islâmica), em contraste com muitas culturas ocidentais?","O direito de ser a única esposa do marido.","O direito de herdar propriedades, realizar contratos e reter o dote em caso de divórcio.","O direito de ser eleita Califa.","A igualdade total de gênero.",b
"ISLAMISMO HOJE: Qual é a principal característica do Islã hoje em termos de distribuição global?","É uma religião restrita ao Oriente Médio.","É a segunda maior religião do mundo, com presença em todos os continentes e forte crescimento em regiões não-árabes (como a Indonésia e o Sul da Ásia).","É praticada apenas por árabes.","É proibida na Europa e nas Américas.",b
"ISLAMISMO HOJE: Qual é a principal fonte de divisão política e religiosa entre as nações muçulmanas hoje?","A diferença de idioma (árabe vs. persa).","As tensões históricas e teológicas entre as correntes Sunita e Xiita.","O conflito entre a França e a Inglaterra.","A rejeição total do Corão.",b
"ISLAMISMO HOJE: Qual é o principal desafio interno das sociedades muçulmanas modernas?","A falta de recursos naturais.","A tensão entre a Tradição (Lei Islâmica) e a modernidade (secularismo, direitos humanos e globalização).","O excesso de democracia.","O domínio total do Cristianismo.",b
"ISLAMISMO HOJE: Onde está localizada a maior população muçulmana do mundo, que não é um país árabe?","Na Nigéria.","Na Indonésia.","Na Rússia.","Na China.",b
"CULTURA E INFLUÊNCIA: Qual o sistema numérico introduzido pelos árabes no Ocidente, que simplificou drasticamente a matemática e o comércio?","Números Romanos.","Números Maias.","Números Arábicos (originários da Índia).","O sistema binário.",c
"CULTURA E INFLUÊNCIA: Quem eram os 'Coraixitas' (Quraysh)?","A tribo de Meca à qual Maomé pertencia, inicialmente opondo-se à sua pregação.","Os seguidores de Ali (Xiitas).","Os principais comerciantes de Damasco.","Os líderes da Caça às Bruxas.",a
"CULTURA E INFLUÊNCIA: Qual foi uma das principais contribuições da cultura árabe na área da Medicina?","O desenvolvimento de técnicas de mumificação.","O estabelecimento de hospitais públicos e avanços em oftalmologia e farmacologia.","A negação de toda a medicina prática.","A invenção da cirurgia plástica.",b
