# TEMA: O IMPÉRIO ROMANO: DA FUNDAÇÃO LENDÁRIA À QUEDA DE 476 d.C.
# DESCRIÇÃO: Análise cronológica da Monarquia, República e Império, focando na estrutura social, expansão militar, cultura (Grega/Latim) e a crise final do Império Ocidental.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"EXPANSÃO E CRISE DA REPÚBLICA: Qual foi a grande aquisição de Júlio César que demonstrou a expansão para o Ocidente (atual França e parte da Bélgica)?","A conquista da Gália (atual França).","A Síria e a Judeia.","A conquista do Egito.","A conquista de Cartago.",a
"EXPANSÃO E CRISE DA REPÚBLICA: Em que contexto as conquistas de Síria, Ásia Menor e Egito se encaixaram na expansão romana?","No domínio da Península Ibérica.","No domínio e controle das rotas comerciais e regiões ricas do Oriente Mediterrâneo.","No fim do Império.","Na Primeira Guerra Púnica.",b
"EXPANSÃO E CRISE DA REPÚBLICA: Qual foi o principal efeito das guerras civis e da expansão territorial no final da República para a estrutura econômica e social de Roma?","O enriquecimento da plebe e a distribuição de terras.","A ruralização imediata e o fim da escravidão.","O crescimento do latifúndio, a ruína dos pequenos agricultores e o aumento massivo da escravidão.","O domínio total dos povos germânicos sobre o exército.",c
"EXPANSÃO E CRISE DA REPÚBLICA: Quais foram as Guerras Civis que marcaram a transição da República para o Império?","Guerras Púnicas e Guerras Médicas.","Conflitos entre os irmãos Graco e a Revolta de Espártaco.","Conflitos entre Júlio César e Pompeu, e posteriormente entre Otávio (Augusto) e Marco Antônio.","As invasões bárbaras.",c
"EXPANSÃO E CRISE DA REPÚBLICA: Qual foi o cargo político que Júlio César assumiu que simbolizou o fim da República e o acúmulo de poder em uma única pessoa, antes de seu assassinato?","Cônsul (mandato anual).","Ditador Vitalício (Dictator Perpetuo).","Tribuno da Plebe.","Senador.",b
"EXPANSÃO E CRISE DA REPÚBLICA: Qual era a principal forma de denúncia ao abuso de autoridades e governadores nas províncias?","A imprensa livre.","As demandas feitas por patrícios e plebeus ao Senado e aos Tribunos da Plebe, que podiam mover ações judiciais.","A revolta armada generalizada.","O uso do *Veto* pelo Imperador.",b
"ALTO IMPÉRIO E CULTURA: Qual evento marcou o início do Império Romano e o período da Pax Romana (Paz Romana)?","A morte de Júlio César.","A vitória de Otávio (Augusto) sobre Marco Antônio e sua ascensão como primeiro Imperador (Princeps).","A proclamação do Cristianismo como religião oficial.","A divisão do Império em Ocidente e Oriente.",b
"ALTO IMPÉRIO E CULTURA: Qual era a qualidade em comum esperada dos governantes (imperadores) romanos, especialmente durante o Alto Império?","Serem filósofos e pensadores.","Serem eleitos por voto popular.","Serem generais competentes, bons administradores e garantirem a estabilidade militar e econômica.","Serem puramente espirituais e religiosos.",c
"ALTO IMPÉRIO E CULTURA: Qual importante contribuição cultural, artística e filosófica Roma herdou e importou amplamente, adaptando-a ao seu próprio contexto?","A escrita cuneiforme da Mesopotâmia.","A arte dos povos germânicos.","A cultura (filosofia, arte, teatro) da Grécia Antiga.","A religião persa (Zoroastrismo).",c
"ALTO IMPÉRIO E CULTURA: Qual era a principal forma pela qual o indivíduo era respeitado no Império Romano?","Como um súdito do Imperador.","Como membro de uma tribo germânica.","Como um cidadão romano (status legal que garantia direitos e proteção).","Como um ser humano universal (sem distinção de classe).",c
"ALTO IMPÉRIO E CULTURA: Qual importante inovação da *Constitutio Antoniniana* (Edito de Caracala) em 212 d.C. que unificou o Império legalmente?","A divisão do Império em Ocidente e Oriente.","A proibição do Cristianismo.","A concessão da cidadania romana a quase todos os homens livres do Império.","A construção do Muro de Adriano.",c
"ALTO IMPÉRIO E CULTURA: Qual a principal mercadoria que os romanos precisavam obter para alimentar a vasta população de sua capital?","Ouro e Prata.","Especiarias da Índia.","Trigo (grãos) do Egito e do Norte da África.","Madeira da Gália.",c
"ALTO IMPÉRIO E CULTURA: Qual região era uma fonte tradicional de cavalos de raça importados para Roma (incluindo os necessários para as corridas)?","Da China (Rota da Seda).","Da Britânia.","Do Norte da África e da Península Ibérica.","Da Gália e da Hispânia.",c
"ALTO IMPÉRIO E CULTURA: Qual dos seguintes era um dos principais produtos importados da Grécia Antiga para Roma?","Trigo e cevada.","Filósofos, professores, obras de arte originais e estátuas de bronze.","Especiarias do Oriente.","Carvão e ferro.",b
"ALTO IMPÉRIO E CULTURA: Em que consistiu a revolta de 90 a.C. (Guerra Social) em Roma?","A revolta dos escravos liderada por Espártaco.","A revolta dos aliados italianos que exigiam a extensão da cidadania romana.","A guerra entre Mário e Sila.","A revolta dos judeus na Judeia.",b
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi o Imperador que, no final do século III, tentou estabilizar o Império dividindo-o e estabelecendo o sistema da Tetrarquia (governo de quatro)?","Constantino.","Augusto (Otávio).","Diocleciano.","Marco Aurélio.",c
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi um dos principais fatores que motivou a contratação de soldados germânicos (mercenários) para compor as legiões romanas no Baixo Império?","A superioridade militar dos germânicos em relação aos romanos.","A necessidade de mão de obra nas cidades.","A dificuldade em recrutar cidadãos romanos suficientes e a desromanização do exército.","A alta taxa de natalidade entre os romanos.",c
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi a principal consequência da desvalorização da moeda (inflação) e da insegurança nas rotas comerciais no Baixo Império?","O crescimento do comércio internacional.","A ruralização da sociedade e o declínio das cidades como centros econômicos e populacionais.","O aumento da população de Roma.","O fortalecimento do poder central imperial.",b
"DECLÍNIO E QUEDA (ÊNFASE): O que o Édito de Milão (313 d.C.), emitido por Constantino, estabeleceu para os cristãos?","O Cristianismo como religião oficial do Império.","A proibição de todas as religiões pagãs.","A liberdade de culto e a tolerância religiosa para os cristãos no Império.","A proibição do Cristianismo.",c
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi a principal motivação que impulsionou a chegada em massa de povos 'bárbaros' (como os Visigodos) às fronteiras do Império no século IV?","O desejo de conquistar a Itália e destruir Roma.","A busca por terras férteis para agricultura.","A pressão de outros povos (como os Hunos) que os empurrava para dentro das fronteiras romanas.","A atração pela cultura romana e a vontade de se tornar cidadão.",c
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi o Imperador que, em 395 d.C., dividiu o Império Romano definitivamente em Império Romano do Ocidente e Império Romano do Oriente?","Constantino.","Diocleciano.","Teodósio I.","Honório.",c
"DECLÍNIO E QUEDA (ÊNFASE): Qual evento, em 410 d.C., abalou profundamente a mentalidade romana, sendo visto como um sinal da fragilidade do Império?","A batalha de Adrianópolis.","O Saque de Roma pelos Visigodos (sob Alarico).","A invasão dos Hunos na Gália.","O Édito de Milão.",b
"DECLÍNIO E QUEDA (ÊNFASE): Qual cidade, antes uma colônia grega, foi refundada por Constantino e se tornou a nova capital do Império do Oriente, garantindo a sua sobrevivência por mais mil anos?","Roma.","Ravena.","Constantinopla (antiga Bizâncio).","Alexandria.",c
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi o principal fator interno que contribuiu para a fragilidade do Império do Ocidente?","O clima e a agricultura.","A instabilidade política, a crise econômica (inflação), a desvalorização da moeda e a incapacidade de manter o exército leal.","A falta de interesse dos germânicos em conquistar terras.","A estabilidade do Império do Oriente.",b
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi o marco tradicionalmente aceito da Queda do Império Romano do Ocidente?","O Saque de Roma pelos Visigodos em 410 d.C.","A Batalha de Adrianópolis em 378 d.C.","A deposição do último imperador romano do Ocidente, Rômulo Augústulo, por Odoacro em 476 d.C.","O Édito de Milão em 313 d.C.",c
"DECLÍNIO E QUEDA (ÊNFASE): Qual dos seguintes eventos é descrito pelo cronista cristão São Jerônimo como um sinal de que 'o mundo se foi' (contexto da queda)?","A construção de Constantinopla.","O Saque de Roma pelos Visigodos (410 d.C.).","A vitória de Constantino em Ponte Mílvia.","A publicação da *Vulgata*.",b
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi o principal argumento de Santo Agostinho de Hipona em sua obra *A Cidade de Deus*, escrita após o Saque de Roma?","Que o Cristianismo era a causa da queda de Roma.","Que a queda de Roma era irrelevante, pois a 'Cidade de Deus' (a Igreja) era eterna, em contraste com a 'cidade dos homens' (o Império).","Que o Império Romano nunca cairia.","Que os godos deveriam ser expulsos.",b
"DECLÍNIO E QUEDA (ÊNFASE): Qual das seguintes basílicas cristãs foi construída no século IV após a legalização do Cristianismo?","A Basílica de São Pedro no Vaticano.","A Basílica de Latrão (São João de Latrão).","A Hagia Sophia.","O Panteão de Roma.",b
"DECLÍNIO E QUEDA (ÊNFASE): O que a historiografia contemporânea entende que a 'Queda de Roma' em 476 d.C. representou?","Uma destruição total e súbita da civilização.","Uma transformação gradual e complexa das estruturas políticas e sociais que já estavam em declínio, com continuidade cultural em muitas regiões.","Um evento puramente militar, sem causas internas.","O fim da Idade Média.",b
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi o Imperador que, em 380 d.C., transformou o Cristianismo (Credo Niceno) na religião de Estado do Império?","Constantino.","Diocleciano.","Teodósio I.","Justiniano I.",c
"DECLÍNIO E QUEDA (ÊNFASE): Qual a principal mudança no Império após o Édito de Milão, em termos de relação Igreja-Estado?","O Imperador se tornou um sacerdote pagão.","A Igreja passou a receber terras, doações e imunidade fiscal do Estado, ascendendo politicamente.","A Igreja foi perseguida de forma mais intensa.","O Papado foi dissolvido.",b
"DECLÍNIO E QUEDA (ÊNFASE): O que o Imperador Constantino fundou que se tornou um pilar de ordem e cultura na Idade Média?","O Sacro Império Romano-Germânico.","O Monacato Ocidental.","O Patriarcado de Roma.","As grandes basílicas cristãs e o apoio imperial à Igreja.",d
"DECLÍNIO E QUEDA (ÊNFASE): Como o historiador Amiano Marcelino descreveu o estado do Império no final do século IV, sublinhando o declínio?","Como um Império em seu auge de prosperidade.","Como um Império em crise, com o poder militar desintegrado e a corrupção administrativa generalizada.","Como um paraíso para os bárbaros.","Como o local de nascimento da Renascença.",b
"DECLÍNIO E QUEDA (ÊNFASE): Quais eram os dois principais centros de poder e administração após a divisão do Império?","Roma e Atenas.","Constantinopla e Milão/Ravena (Ocidente).","Bizâncio e Cartago.","Judeia e Síria.",b
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi o principal efeito da 'ruralização' nas cidades romanas?","As cidades se tornaram mais ricas e populosas.","As cidades encolheram, com a população migrando para o campo em busca de proteção e autossuficiência.","As cidades se tornaram centros de comércio internacional.","As cidades adotaram a democracia direta.",b
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi o papel da Igreja na sociedade que se desintegrava no século V?","A Igreja acelerou a queda do Império, apoiando os bárbaros.","A Igreja emergiu como a única instituição estável, assumindo responsabilidades civis e administrativas para proteger a população.","A Igreja foi completamente destruída.","A Igreja defendeu a volta ao paganismo.",b
"DECLÍNIO E QUEDA (ÊNFASE): Qual o nome dado ao movimento de retirada para o campo, que transformou a economia e a sociedade romana no Baixo Império?","O Latifúndio.","A Urbanização.","A Ruralização.","O Monacato.",c
"DECLÍNIO E QUEDA (ÊNFASE): Qual foi o principal motivo da Revolta Judaica em 66 d.C. e 132 d.C.?","A exigência de mais trigo.","A busca por independência política e religiosa frente ao domínio romano.","A busca pela cidadania romana.","A oposição ao cristianismo.",b
"DECLÍNIO E QUEDA (ÊNFASE): O que a contratação de soldados germânicos levou à ocorrência?","A ascensão de generais romanos.","A perda de identidade romana do exército (desromanização) e o aumento da lealdade dos soldados aos seus líderes tribais em vez de ao Império.","O fim da escravidão.","A abolição dos impostos.",b
"DECLÍNIO E QUEDA (ÊNFASE): Quais os dois principais fatores que, segundo o texto, contribuíram para o declínio do Império?","A estabilidade política e o aumento dos impostos.","A ausência de fronteiras e a falta de líderes.","O aumento da população e a paz.","A instabilidade política, a crise econômica e a pressão militar externa (bárbaros).",d
"DECLÍNIO E QUEDA (ÊNFASE): Qual imperador romano foi o último a tentar unificar o Império em 392 d.C. antes da divisão definitiva?","Constantino.","Honório.","Teodósio I.","Arcádio.",c
"DECLÍNIO E QUEDA (ÊNFASE): O que foi a Batalha de Adrianópolis (378 d.C.)?","Uma vitória romana sobre os Visigodos.","Uma vitória goda sobre o Império Romano do Oriente, que demonstrou a fraqueza das legiões romanas.","A última vitória de Rômulo Augústulo.","A batalha que deu início à Pax Romana.",b
"DECLÍNIO E QUEDA (ÊNFASE): O que a 'Constitutio Antoniniana' de 212 d.C. não conseguiu resolver no longo prazo?","A ameaça persa.","A crise econômica e a perda de lealdade ao poder central.","A crise do Império.",b
"DECLÍNIO E QUEDA (ÊNFASE): O que a crise do século III resultou em termos de autoridade imperial?","A sucessão pacífica dos imperadores.","O domínio do Senado sobre o exército.","A anarquia militar, com numerosos imperadores proclamados e assassinados em curtos períodos.","O fim da escravidão.",c
