pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,resposta_correta,explicacao
"Qual é o principal problema de usar o mesmo modelo de dados para escrita (DDD) e leitura em larga escala?","O PHP não consegue ler e escrever no mesmo banco de dados simultaneamente.","Modelos complexos e normalizados exigem JOINs pesados que tornam as consultas lentas sob alta carga.","O Load Balancer bloqueia operações de leitura se houver muitas escritas pendentes.","A utilização de IDs únicos impede a realização de buscas textuais.","O uso de bancos relacionais como PostgreSQL é proibido em arquiteturas modernas.",B,"Em sistemas de alta carga, as regras de consistência da escrita (muitas tabelas/JOINs) conflitam com a necessidade de respostas instantâneas na leitura."
"O que define a responsabilidade do 'Lado da Escrita' (Commands) no padrão CQRS?","Apenas a exibição de dados formatados em tabelas HTML para o usuário.","A execução de buscas complexas em bancos de dados NoSQL como MongoDB.","A alteração do estado do sistema, processando comandos que respeitam as regras de negócio e garantem consistência.","A limpeza automática dos logs do servidor de aplicação PHP.","A distribuição de arquivos estáticos via CDN.",C,"O lado dos Commands foca exclusivamente em operações que alteram dados (Create, Update, Delete), geralmente utilizando a estrutura protegida do DDD."
"Como o 'Lado da Leitura' (Queries) no CQRS consegue ser tão performático?","Ele utiliza o mesmo modelo denso do DDD para garantir que os dados estejam sempre 100% atualizados.","Ele ignora a complexidade do domínio e utiliza bancos desnormalizados ou caches otimizados para busca rápida.","Ele processa as requisições antes que elas cheguem ao Load Balancer.","Ele obriga o usuário a esperar que a transação de escrita seja concluída no disco.","Ele elimina a necessidade de usar qualquer tipo de banco de dados.",B,"As Queries no CQRS são otimizadas para devolução de dados brutos e rápidos, muitas vezes usando bancos NoSQL ou índices de busca (ElasticSearch) que já possuem os dados 'mastigados'."
"Qual é a principal vantagem estratégica de escalar o lado da Leitura independentemente da Escrita?","Reduzir o custo de licenciamento do PHP.","Garantir que o sistema de pagamentos nunca falhe, mesmo se o catálogo cair.","Permitir que milhares de usuários naveguem no sistema (leitura) sem sobrecarregar o banco principal de transações (escrita).","Facilitar a migração de todo o código para uma arquitetura monolítica.","Impedir que ataques de DDoS alcancem o Load Balancer.",C,"Como o tráfego de leitura costuma ser muito maior que o de escrita, podemos replicar os bancos de consulta em vários servidores sem afetar a segurança do banco de escrita."
"O que representa o 'Calcanhar de Aquiles' ao implementar CQRS com bancos de dados separados?","A impossibilidade de usar o framework Laravel em ambos os lados.","A necessidade de sincronizar os dados entre o banco de escrita e o de leitura de forma eficiente e assíncrona.","O aumento do consumo de CPU apenas nas instâncias de Load Balancer.","A perda definitiva de consistência em todas as operações do sistema.","O fato de que o PHP não suporta conexões com mais de um banco de dados ao mesmo tempo.",B,"Ao separar os bancos, surge o desafio da consistência eventual: garantir que a informação gravada no banco de escrita seja replicada para o banco de leitura rapidamente."
"Como a mensageria resolve o problema de disponibilidade entre o banco de Escrita e o de Leitura?","Ela obriga o banco de Leitura a estar 100% online para que a venda seja concluída.","Ela remove a necessidade de ter um banco de dados para o lado das Queries.","Ela quebra a sincronia: o PHP avisa o Broker (Kafka) e encerra a requisição, permitindo que a atualização ocorra em segundo plano.","Ela faz o PHP esperar até que o MongoDB confirme o recebimento dos dados.","Ela substitui o Load Balancer na distribuição de tráfego HTTP.",C,"A comunicação assíncrona permite que o fluxo principal (venda) continue mesmo que sistemas secundários (atualização da leitura) falhem momentaneamente."
"No ecossistema do Apache Kafka, qual é a função exata de um 'Producer'?","Consumir as mensagens gravadas nos tópicos para atualizar o banco NoSQL.","Criar e enviar mensagens (eventos) para um tópico específico dentro do Kafka.","Gerenciar as sessões stateless dos servidores PHP.","Armazenar o histórico de logs em discos SSD de alta performance.","Traduzir o código PHP para uma linguagem que o banco de dados entenda.",B,"O Producer é a origem da informação. No nosso caso, é o código PHP que acaba de validar um comando e envia o evento para o Kafka."
"O que diferencia um 'Consumer' de um script PHP tradicional acionado pelo navegador?","O Consumer só pode ser escrito em Java, nunca em PHP.","O Consumer é um processo CLI que roda em loop infinito, monitorando o Kafka em busca de novos eventos.","O Consumer é ativado pelo Load Balancer a cada novo acesso do usuário.","O Consumer apaga o código fonte da aplicação após processar uma mensagem.","O Consumer não pode acessar bancos de dados como MongoDB.",B,"Diferente de uma requisição HTTP que morre após a resposta, o Consumer (Worker) é um processo de longa duração que 'escuta' o broker continuamente."
"Qual a principal vantagem do Kafka ser um 'Log de anotações' persistente em comparação com filas como SQS ou Redis?","Ele é mais lento por usar discos rígidos tradicionais.","No Kafka, a mensagem é apagada imediatamente após a primeira leitura por segurança.","O Kafka permite que múltiplos consumidores leiam a mesma mensagem em tempos diferentes para finalidades distintas (Marketing, Logística, CQRS).","O Kafka não permite a conexão de mais de um servidor PHP ao mesmo tempo.","O Kafka criptografa as mensagens de uma forma que o PHP não consegue ler.",C,"O Kafka mantém o histórico. Assim, um evento de 'Pedido Criado' pode ser usado pelo CQRS para atualizar o banco e pelo Marketing para enviar um e-mail, simultaneamente."
"Em uma arquitetura Event-Driven, o que acontece se o banco de Leitura (MongoDB) ficar fora do ar por 5 minutos?","O sistema de vendas para de funcionar imediatamente e o usuário recebe um erro.","As mensagens enviadas pelo Producer durante esse tempo são perdidas para sempre.","O Kafka armazena as mensagens com segurança e o Consumer as processa assim que o banco voltar, garantindo a consistência eventual.","O Load Balancer redireciona todo o tráfego de leitura para o PostgreSQL.","O PHP precisa reiniciar todos os servidores de escala horizontal.",C,"Essa é a 'Resiliência'. O desacoplamento via Kafka garante que falhas em sistemas periféricos não interrompam a operação principal de escrita."
"Por que o Kafka é considerado o 'sistema nervoso' de uma arquitetura com CQRS?","Porque ele armazena as senhas de todos os usuários do sistema.","Porque ele conecta o lado da Escrita ao lado da Leitura e a outros serviços através de eventos de negócio.","Porque ele substitui a necessidade de usar o framework Laravel.","Porque ele processa cálculos matemáticos complexos mais rápido que o PHP.","Porque ele impede que o desenvolvedor utilize bancos relacionais.",B,"O Kafka transporta a informação de que algo aconteceu no 'coração' do sistema (Domínio) para todos os outros 'membros' da arquitetura de forma eficiente."
"Qual a principal diferença entre o modelo CRUD tradicional e o Event Sourcing?","O CRUD é mais rápido para buscas complexas no banco de escrita.","O CRUD armazena o estado atual (foto), enquanto o Event Sourcing armazena uma sequência imutável de fatos (eventos) que ocorreram.","O Event Sourcing não permite o uso de bancos de dados relacionais como PostgreSQL.","O CRUD exige que o programador use Kafka para todas as operações.","No Event Sourcing, os dados são deletados automaticamente após 24 horas.",B,"No Event Sourcing, em vez de fazer um UPDATE no saldo, você registra todos os depósitos e saques. O estado atual é a soma desses eventos."
"Como o estado atual de uma entidade (ex: Saldo de uma Conta) é descoberto no Event Sourcing?","Consultando uma coluna de 'total' que é atualizada via trigger no banco.","Lendo o log de eventos do início até o fim e aplicando as mudanças na memória (Replay).","Perguntando diretamente ao Load Balancer qual foi o último valor processado.","O estado atual é armazenado em arquivos .txt no servidor PHP stateless.","O estado atual não pode ser descoberto, apenas o histórico é importante.",B,"Este processo é chamado de 'Rehydration' ou 'Replay'. Você reconstrói o objeto aplicando cada evento cronologicamente."
"Por que o Event Sourcing depende fortemente do padrão CQRS para ser viável na prática?","Porque o Event Store (banco de eventos) é péssimo para consultas e buscas complexas (filtros, joins).","Porque o Kafka não funciona sem uma estrutura de comandos separada.","Porque o DDD proíbe o uso de eventos sem a separação de leitura e escrita.","Porque as sessões PHP stateless exigem que o banco de leitura seja o MongoDB.","Porque o Event Sourcing só funciona em escala vertical.",A,"Como o banco de escrita só tem 'ID' e 'Payload JSON', você precisa do CQRS para projetar esses dados em um banco de leitura (leitura rápida) otimizado para buscas."
"Qual é o 'Superpoder' de Auditoria que o Event Sourcing oferece ao negócio?","A capacidade de apagar registros de erros para limpar o banco de dados.","A garantia de que nenhum dado do passado foi destruído por um UPDATE ou DELETE, permitindo rastrear cada mudança.","A detecção automática de vírus em arquivos PHP.","A possibilidade de dobrar a capacidade do Load Balancer sem custo adicional.","O bloqueio de acessos simultâneos de diferentes IPs.",B,"Como os eventos são imutáveis e 'Append-Only', você tem um rastro de auditoria perfeito de tudo o que aconteceu no sistema desde o dia 1."
"O que significa o conceito de 'Viagem no Tempo' (Time Travel) no Event Sourcing?","Aumentar a velocidade de processamento dos Workers do Kafka.","Mudar a data do servidor para enganar o sistema de licenças.","A capacidade de reconstruir o estado do sistema em qualquer ponto exato do passado, rodando os eventos até aquela data.","A atualização instantânea do banco de leitura sem passar pelo Kafka.","A execução de código PHP de versões antigas do framework Laravel.",C,"Se você tem todos os eventos, você pode perguntar ao sistema: 'Qual era o endereço deste usuário no dia 15 de março?'. Basta parar o replay naquela data."
"Qual é uma das principais desvantagens (o Lado Sombrio) de implementar Event Sourcing?","A impossibilidade de usar Docker na infraestrutura.","A complexidade aumentada e o desafio de lidar com a Consistência Eventual na interface (UI).","A redução drástica da segurança dos dados.","O fato de o PHP não ser compatível com bancos NoSQL.","A necessidade de trocar todos os Load Balancers por Apache Kafka.",B,"O sistema se torna mais complexo de debugar e o usuário pode ver dados 'antigos' por milissegundos enquanto o evento ainda está sendo processado pelo Consumer (Consistência Eventual)."
"No contexto de Event Sourcing e CQRS, qual é a função principal de um 'Projetor' (Projector)?","Calcular o saldo do usuário em tempo real toda vez que ele abre o aplicativo.","Ler os eventos do Kafka em background e manter uma visão 'mastigada' e atualizada no banco de leitura.","Projetar a modelagem das tabelas no banco de dados relacional.","Bloquear transações suspeitas antes que elas cheguem ao Load Balancer.","Apagar eventos antigos do Event Store para economizar espaço em disco.",B,"O Projetor faz o 'trabalho sujo' assincronamente. Ele escuta os eventos e atualiza o banco de leitura (ex: somando o saldo) para que a consulta do usuário seja instantânea."
"Como o Event Sourcing garante uma leitura instantânea na tela do usuário sem precisar somar todo o histórico na hora?","O sistema realiza a soma na memória do navegador do cliente via JavaScript.","O PostgreSQL possui uma função nativa que soma milhões de eventos em zero milissegundos.","A API busca o valor já calculado no banco de leitura (ex: MongoDB ou Redis), que foi previamente atualizado pelo Projetor.","O Event Sourcing desativa a exibição de dados em tempo real.","O Load Balancer faz o cálculo em cache antes de bater no servidor PHP.",C,"A grande sacada do CQRS com Event Sourcing é que a Leitura nunca faz cálculos complexos. Ela apenas busca a 'foto' final que o Projetor já preparou."
"Por que ler milhares de eventos antigos do Event Store toda vez que o usuário faz uma nova transação é um problema para a Escrita?","Porque carregar e reprocessar milhares de eventos na memória do PHP para descobrir o estado atual (ex: verificar saldo) gera extrema lentidão.","Porque o PHP não suporta loops com mais de 1000 iterações.","Porque o Kafka apaga as mensagens antigas automaticamente.","Porque o banco de leitura (MongoDB) não aceita requisições muito grandes.","Porque isso fere as regras de Contextos Delimitados do DDD.",A,"Para o Agregado validar uma regra (como permitir um saque), ele precisa conhecer o estado atual. Fazer o 'replay' completo do histórico a cada nova ação sobrecarregaria o servidor."
"Qual padrão a indústria utiliza para resolver a lentidão de carregar o histórico completo de eventos no lado da Escrita?","Substituir o PHP por linguagens de baixo nível.","Excluir a conta do usuário e forçá-lo a criar uma nova a cada ano.","Snapshot (Retrato): criar pontos de salvamento do estado consolidado após um certo número de eventos.","Desativar a validação de regras de negócio no backend.","Fazer chamadas síncronas diretamente do frontend para o banco de dados.",C,"O Snapshot funciona como o 'fechamento de caixa'. Ele consolida os eventos até aquele momento em uma foto estática para encurtar a leitura futura."
"Como o sistema calcula o estado atual de um Agregado quando existe um Snapshot salvo?","Ele carrega o Snapshot mais recente e faz o 'replay' apenas dos eventos que aconteceram DEPOIS da sua criação.","Ele ignora o Snapshot e sempre lê do evento 1 por segurança.","Ele confia cegamente no Snapshot e ignora qualquer evento recente que ainda não virou Snapshot.","Ele envia o Snapshot para o banco de leitura e espera o Kafka confirmar a transação.","Ele funde o Snapshot com o banco relacional, desativando o Event Sourcing.",A,"Se o Snapshot é do evento 100 e o usuário vai realizar a transação 105, o sistema carrega o saldo do evento 100 e aplica apenas os 4 eventos recentes, tornando a validação ultrarrápida."
"O que é DDD (Domain-Driven Design)?","Um padrão de arquitetura focado em criar estruturas de pastas e rotas para frameworks web.","Uma abordagem de modelagem de software cujo foco é alinhar o código de forma rigorosa às complexas regras e processos do negócio real.","Um banco de dados otimizado especificamente para leituras de altíssima performance.","Um protocolo de comunicação em rede para microsserviços.","Um algoritmo de balanceamento de carga para instâncias em nuvem.",B,"O DDD foca no 'Coração' do software (o Domínio). Ele modela a aplicação de acordo com a realidade do negócio, utilizando ferramentas como Bounded Contexts e Entidades."
"O que é CQRS (Command Query Responsibility Segregation)?","Um padrão arquitetural que separa estritamente as operações de leitura (Queries) das operações de escrita e alteração de estado (Commands).","Um sistema de mensageria assíncrona que funciona como um log de eventos imutável.","Uma técnica de criptografia de ponta a ponta para proteger dados bancários.","Um ORM (Object-Relational Mapper) nativo para manipular múltiplos bancos de dados.","Um tipo especial de Load Balancer para bancos de dados NoSQL.",A,"O CQRS divide o sistema: um modelo altamente validado para escritas (Commands) e um modelo desnormalizado, focado apenas em entregar dados velozmente para a tela (Queries)."
"O que é o Amazon SQS (Simple Queue Service)?","Um serviço de banco de dados relacional (SQL) totalmente gerenciado pela AWS.","Um serviço de filas de mensagens da AWS que permite o armazenamento, processamento assíncrono e o desacoplamento seguro de microsserviços.","Um sistema de cache em memória de leitura ultra-rápida.","Uma ferramenta de CI/CD para automatizar deploys na nuvem.","Um padrão de design de software para sincronizar bancos de dados distintos.",B,"O SQS é um serviço de mensageria em nuvem gerenciado. Ele atua como um 'buffer' seguro entre sistemas, sendo a evolução natural para arquiteturas escaláveis quando precisamos ir além das filas locais tradicionais (como as Filas do Laravel)."
