# TEMA: A GÊNESE DA CIVILIZAÇÃO OCIDENTAL NA GRÉCIA ANTIGA
# DESCRIÇÃO: Análise dos períodos Pré-Homérico, Arcaico e Clássico, focando nas estruturas de Micenas, Atenas e Esparta, filosofia, guerras e o Helenismo.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"COLAPSO E ERA HELENÍSTICA: Embora Roma tenha conquistado politicamente a Grécia, o que os romanos fizeram com o legado cultural grego?","Destruíram completamente a cultura grega.","Assimilaram e se tornaram os principais difusores da filosofia, arte e ciência gregas por todo o Ocidente.","Adotaram a língua grega como idioma oficial.","Enviaram todos os filósofos para o exílio.",b
"FILOSOFIA GREGA: Qual filósofo, reconhecido por Aristóteles como o primeiro a buscar o princípio unificador da *physis* (natureza), afirmou que o *Argé* era a água?","Sócrates","Platão","Tales de Mileto","Epicuro",c
"FILOSOFIA GREGA: Qual movimento filosófico deslocou o foco da filosofia da natureza para o homem e a sociedade, enfatizando a retórica e o relativismo ('o homem é a medida de todas as coisas')?","O Estoicismo","O Cinismo","O Sofisma","O Racionalismo",c
"FILOSOFIA GREGA: Qual o método filosófico de Sócrates (c. 469–399 a.C.), baseado no questionamento constante para guiar as pessoas à verdade?","Dialética","Lógica Formal","Maiêutica (Método Socrático)","Empirismo",c
"FILOSOFIA GREGA: Onde reside o verdadeiro conhecimento, segundo a Teoria das Ideias (ou Formas) de Platão?","No Mundo Sensível (material)","No Mundo Inteligível (Reino das Formas), acessível pela razão pura.","Na observação empírica (experiência).","Na retórica e na persuasão.",b
"FILOSOFIA GREGA: Qual filósofo se opôs ao dualismo de Platão e enfatizou a importância da experiência e da observação empírica?","Sócrates","Zenão de Cítio","Aristóteles","Diógenes",c
"FILOSOFIA GREGA: Qual escola filosófica helenística buscava o prazer como o bem supremo, interpretado como a ausência de dor física (*aponia*) e de perturbação da alma (*ataraxia*)?","O Estoicismo","O Cinismo","O Hedonismo Epicurista","O Platonismo",c
"FILOSOFIA GREGA: Qual escola filosófica helenística defendia a aceitação racional do destino e o controle rigoroso das paixões, focando na virtude e na resiliência?","O Hedonismo","O Cinismo","O Estoicismo","O Sofisma",c
"FILOSOFIA GREGA: Qual expoente famoso do Cinismo defendia uma vida em total conformidade com a natureza, rejeitando as convenções sociais e a riqueza?","Epicuro","Zenão de Cítio","Diógenes de Sinope","Platão",c
"FILOSOFIA GREGA: A mudança do foco filosófico da política (*pólis*) para a ética individual no Período Helenístico refletiu qual evento geopolítico?","O auge da Democracia Ateniense.","A perda da autonomia política da pólis sob impérios macedônicos e romanos.","As Guerras Médicas.","A codificação das Leis Draconianas.",b
