# TEMA: AS CRUZADAS: DO AUGE DOS REIS (3ª) À TRAIÇÃO DE CONSTANTINOPLA (4ª) E AO FRACASSO DO EGITO (5ª)
# DESCRIÇÃO: Quiz detalhado sobre os contextos, líderes, eventos-chave, desvios e resultados das Terceira, Quarta e Quinta Cruzadas (1189–1221).
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"TERCEIRA CRUZADA (1189–1192): Qual foi a cidade-chave que Saladino manteve sob domínio muçulmano ao final da Cruzada?","Tiro.","Acre.","Jerusalém.","Antióquia.",c
"TERCEIRA CRUZADA (1189–1192): Qual foi o destino de Ricardo I em seu retorno à Inglaterra?","Ele foi recebido como herói em Roma.","Ele foi capturado por Leopoldo V da Áustria e mantido em cativeiro por um resgate.","Ele se tornou Imperador do Sacro Império.","Ele liderou a Quarta Cruzada.",b
"TERCEIRA CRUZADA (1189–1192): Por que Ricardo I não conseguiu sitiar ou reconquistar Jerusalém, apesar de estar próximo?","Porque Saladino o subornou.","Devido à falta de apoio de Filipe II e dos Barões Locais, além da exaustão e falta de suprimentos.","Ele foi derrotado por Zengi.","Ele morreu em batalha.",b
"TERCEIRA CRUZADA (1189–1192): O que o desvio do foco do Islã (contensão) pela morte de Frederico e o retorno de Filipe levou a ocorrer?","Um fracasso total da Cruzada.","A Cruzada se concentrou em um duelo pessoal entre Ricardo e Saladino.","A união das forças muçulmanas.","A conquista de Constantinopla.",b
"TERCEIRA CRUZADA (1189–1192): Qual foi o principal sucesso militar de Ricardo na campanha?","A tomada de Tiro.","A vitória na Batalha de Arsuf.","A derrota na Batalha de Hattin.","O cerco de Damasco.",b
"TERCEIRA CRUZADA (1189–1192): Qual dos líderes tinha o apoio do Império Bizantino?","Ricardo Coração de Leão.","Saladino.","Frederico Barba-Roxa.","Filipe II.",c
"TERCEIRA CRUZADA (1189–1192): Quem foi o sultão que ofereceu a trégua final que permitiu a peregrinação cristã a Jerusalém?","Nur ad-Din.","Baibars.","Saladino.","Al-Kamil.",c
"TERCEIRA CRUZADA (1189–1192): Qual foi o principal erro estratégico da Cruzada, que comprometeu o sucesso final?","O assassinato de Frederico Barba-Roxa.","A falta de um comando unificado e a rivalidade entre os líderes.","O ataque a Damasco.","A falta de apoio naval.",b
"TERCEIRA CRUZADA (1189–1192): Qual foi o principal legado da Terceira Cruzada, apesar do fracasso em recuperar Jerusalém?","A destruição de todas as fortalezas muçulmanas.","A manutenção de uma presença cristã no Levante através do Reino Latino de Acre e o reconhecimento do poder militar europeu.","O fim das peregrinações.","A conversão de Saladino.",b
"TERCEIRA CRUZADA (1189–1192): Quem foi o rei que mais contribuiu para o fracasso da cruzada?","Ricardo Coração de Leão.","Frederico Barba-Roxa.","Filipe II (Augusto).","Leopoldo V da Áustria.",c
"QUARTA CRUZADA (1202–1204): Quem foi o Papa que convocou a Quarta Cruzada, pretendendo inicialmente atacar o Egito?","Papa Urbano II.","Papa Inocêncio III.","Papa Eugênio III.","Papa Gregório IX.",b
"QUARTA CRUZADA (1202–1204): Por que a Quarta Cruzada se desviou de seu objetivo original no Egito?","A falta de interesse dos líderes.","Problemas financeiros dos cruzados, que os forçaram a aceitar um acordo com Veneza em troca de serviços militares.","A derrota esmagadora para Saladino.","O sucesso da Terceira Cruzada.",b
"QUARTA CRUZADA (1202–1204): Qual cidade forneceu a frota para a Cruzada e foi liderada pelo Doge Enrico Dandolo?","Gênova.","Pisa.","Veneza.","Florença.",c
"QUARTA CRUZADA (1202–1204): Qual foi o primeiro ato de desvio da Quarta Cruzada, sendo um ataque a uma cidade cristã no Mar Adriático?","O saque de Jerusalém.","O ataque à cidade de Zara (Zadar).","O ataque à cidade de Tiro.","O cerco de Constantinopla.",b
"QUARTA CRUZADA (1202–1204): O ataque à Zara foi motivado por qual razão?","A necessidade de punir o rei da Hungria.","A necessidade de pagar a dívida contraída com Veneza pelo transporte.","A ameaça de Zengi.","O chamado de Alexios IV.",b
"QUARTA CRUZADA (1202–1204): Qual príncipe bizantino (Alexios Angelos) prometeu vastos pagamentos e ajuda para o Santo Sepulcro em troca do apoio dos cruzados para restaurar seu trono em Constantinopla?","Constantino XI.","Manuel I.","Alexios IV.","João V.",c
"QUARTA CRUZADA (1202–1204): O que a Quarta Cruzada fez com Constantinopla em 1204?","A defendeu contra o ataque islâmico.","A sitiou e a saqueou, resultando na queda do Império Bizantino e na criação do Império Latino.","A restaurou para o Imperador Alexios I.","A tornou a capital do Império Romano Ocidental.",b
"QUARTA CRUZADA (1202–1204): O que foi estabelecido no território do Império Bizantino após o saque de 1204?","O Patriarcado Ortodoxo.","O Reino Latino de Jerusalém.","O Império Latino de Constantinopla.","A República de Veneza.",c
"QUARTA CRUZADA (1202–1204): Qual foi o principal impacto de longo prazo do saque de Constantinopla?","A união da Igreja Católica com a Igreja Ortodoxa.","A consolidação da divisão (cisma) entre a Igreja Católica Romana e a Igreja Ortodoxa Oriental.","O enfraquecimento total do Islã.","O retorno de Jerusalém para os cristãos.",b
"QUARTA CRUZADA (1202–1204): Qual figura poderosa de Veneza foi o grande mentor e beneficiário da Cruzada, garantindo que ela servisse aos interesses comerciais de Veneza?","Filipe II.","Doge Enrico Dandolo.","Saladino.","Alexios IV.",b
"QUARTA CRUZADA (1202–1204): Como o Papa Inocêncio III reagiu ao saque de Constantinopla?","Ele o aplaudiu e o abençoou.","Ele condenou veementemente o ataque e excomungou os líderes, embora tenha tentado se beneficiar politicamente depois.","Ele liderou o ataque pessoalmente.","Ele declarou o fim das Cruzadas.",b
"QUARTA CRUZADA (1202–1204): O que a Quarta Cruzada simbolizou para o ideal cruzado?","O ápice da fé e da honra.","A perversão do ideal cruzado por interesses econômicos e políticos.","A vitória total da Igreja.","O fim da rivalidade entre Veneza e Gênova.",b
"QUARTA CRUZADA (1202–1204): Quem foi o líder militar que se tornou o primeiro imperador do Império Latino de Constantinopla?","Enrico Dandolo.","Alexios IV.","Balduíno I de Flandres.","Ricardo Coração de Leão.",c
"QUARTA CRUZADA (1202–1204): Qual Império Oriental foi o principal perdedor geopolítico da Quarta Cruzada?","O Império Persa.","O Império Bizantino.","O Califado Abássida.","O Império Otomano.",b
"QUARTA CRUZADA (1202–1204): O que o ataque a Zara demonstrou sobre a autoridade do Papa Inocêncio III?","Que seu poder era absoluto.","Que sua autoridade podia ser ignorada quando os interesses financeiros e militares se sobrepunham.","Que ele não tinha controle sobre os cruzados.","Que ele defendia a guerra contra cristãos.",b
"QUARTA CRUZADA (1202–1204): Qual foi a principal razão para o fracasso da Quarta Cruzada em chegar à Terra Santa?","A resistência muçulmana.","O desvio estratégico e a traição causados pela dívida de transporte com Veneza.","A falta de suprimentos.","A morte de Frederico Barba-Roxa.",b
"QUARTA CRUZADA (1202–1204): O que foi o Império Latino (1204-1261)?","Uma forma de governo democrático em Constantinopla.","Um reino católico romano efêmero, estabelecido após o saque de Constantinopla.","Um novo reino muçulmano na Grécia.","O reino restaurado de Alexios IV.",b
"QUARTA CRUZADA (1202–1204): O que aconteceu com o tesouro da cidade, incluindo relíquias e obras de arte, após o saque de 1204?","Foi devolvido ao Papa.","Foi distribuído entre os cruzados e o Doge Dandolo, enriquecendo Veneza.","Foi enterrado em segredo.","Foi usado para a construção de Jerusalém.",b
"QUARTA CRUZADA (1202–1204): Quem foi o líder bizantino que fugiu de Constantinopla e estabeleceu um estado sucessor bizantino em Nicéia?","Alexios I.","Constantino XI.","Alexios V.","Teodoro Lascaris (Império de Nicéia).",d
"QUARTA CRUZADA (1202–1204): Qual foi o principal foco dos ataques dos cruzados e venezianos durante o saque de Constantinopla?","A Mesquita de Santa Sofia.","A Acrópole.","Igrejas, mosteiros e propriedades públicas e privadas.","A residência do Papa.",c
"QUINTA CRUZADA (1217–1221): Qual Papa convocou a Quinta Cruzada (após o Concílio de Latrão IV) e qual era o objetivo estratégico principal?","Papa Inocêncio III; atacar Jerusalém diretamente.","Papa Honório III; atacar e capturar a cidade portuária egípcia de Damietta.","Papa Gregório IX; atacar Constantinopla.","Papa Eugênio III; defender Edessa.",b
"QUINTA CRUZADA (1217–1221): Qual era o título de João de Brienne, uma das figuras militares proeminentes da Cruzada?","Rei da França.","Rei de Jerusalém.","Imperador do Sacro Império.","Patriarca de Alexandria.",b
"QUINTA CRUZADA (1217–1221): Por que o Egito foi escolhido como o alvo estratégico da Quinta Cruzada?","Porque era o centro do poder militar muçulmano e a chave para a segurança de Jerusalém.","Porque era o local de nascimento de Maomé.","Porque o Nilo era sagrado.","Porque era a cidade mais fácil de conquistar.",a
"QUINTA CRUZADA (1217–1221): Quem foi Pelagius Galvani?","O líder militar dos cruzados alemães.","O Sultão do Egito.","O Legado Papal, que se tornou a autoridade suprema na Cruzada e tomou decisões desastrosas.","O Rei de Jerusalém.",c
"QUINTA CRUZADA (1217–1221): O que o Sultão do Egito, Al-Kamil, ofereceu em um momento-chave da Cruzada?","Dinheiro para os cruzados voltarem para casa.","A rendição de Damietta e a devolução de Jerusalém aos cristãos em troca da retirada do Egito.","A união militar contra Bizâncio.","O direito de passagem para Meca.",b
"QUINTA CRUZADA (1217–1221): Quem rejeitou a oferta de Al-Kamil de devolver Jerusalém, levando ao fracasso final da Cruzada?","João de Brienne.","O Rei da França.","O Legado Papal, Pelagius Galvani, por acreditar na intervenção divina e não confiar nos muçulmanos.","O Imperador Frederico II.",c
"QUINTA CRUZADA (1217–1221): Qual foi o principal desastre que levou à derrota dos cruzados após a marcha sobre o Cairo?","A falta de dinheiro.","A inundação das terras pelo Nilo, forçando a rendição e a perda de Damietta.","O ataque de uma nova frota muçulmana.","A deserção de João de Brienne.",b
"QUINTA CRUZADA (1217–1221): Qual foi o resultado final da Quinta Cruzada?","A conquista total de Jerusalém.","O retorno de Edessa.","A derrota e a perda do porto de Damietta para os muçulmanos, terminando em fracasso total.","O estabelecimento da paz duradoura.",c
"QUINTA CRUZADA (1217–1221): Qual figura religiosa, conhecida por seu pacifismo, tentou, sem sucesso, converter o Sultão Al-Kamil durante a Cruzada?","São Domingos.","São Bento.","São Francisco de Assis.","São Bernardo de Claraval.",c
"QUINTA CRUZADA (1217–1221): Qual líder foi amplamente culpado pelo fracasso da Cruzada por sua arrogância e fé excessiva na intervenção divina, em detrimento da estratégia militar?","João de Brienne.","O Imperador Frederico II.","O Legado Pelagius Galvani.","O Sultão Al-Kamil.",c
"QUINTA CRUZADA (1217–1221): O que a recusa da oferta de Jerusalém demonstrou sobre a mentalidade dos líderes da Cruzada?","Uma grande sabedoria estratégica.","Uma desconfiança inerente aos acordos, preferindo a aniquilação militar total (mesmo que inviável) ou a intervenção divina.","Uma subordinação total aos reis europeus.","Um desejo de se tornar califa.",b
"QUINTA CRUZADA (1217–1221): A Cruzada foi formalmente lançada após qual evento eclesiástico?","A Batalha de Hattin.","O Concílio de Clermont.","O Quarto Concílio de Latrão (1215).","A Guerra do Peloponeso.",c
"QUINTA CRUZADA (1217–1221): Qual era o objetivo militar imediato da Cruzada após a chegada ao Egito?","A captura de Jerusalém.","A captura de Damietta para usá-la como moeda de troca.","A destruição da frota naval muçulmana.","O resgate de Ricardo Coração de Leão.",b
"QUINTA CRUZADA (1217–1221): Qual foi o principal motivo do sucesso inicial dos cruzados (tomada de Damietta)?","A liderança de Frederico II.","O apoio do Império Bizantino.","A força das tropas navais e o cerco eficaz.","O uso de armas de fogo.",c
"QUINTA CRUZADA (1217–1221): A liderança da Cruzada foi marcada pela tensão entre qual autoridade eclesiástica e qual autoridade civil?","O Doge de Veneza e o Papa.","O Legado Papal (Pelagius) e o Rei de Jerusalém (João de Brienne).","O Rei da França e o Rei da Inglaterra.","O Sultão e o Legado Papal.",b
"QUINTA CRUZADA (1217–1221): Em termos de apoio régio, quem prometeu participar, mas atrasou-se (o que contribuiu para o fracasso)?","Ricardo Coração de Leão.","O Imperador Frederico II.","Filipe II da França.","O Rei da Inglaterra.",b
"QUINTA CRUZADA (1217–1221): Quem foi a figura central que emergiu como o inimigo principal da Cruzada no Egito?","Saladino.","Nur ad-Din.","O Sultão Al-Kamil.","Baibars.",c
